iter	Passed	Remaining
692	6166	2731
693	6175	2723
694	6183	2713
695	6190	2704
696	6197	2694
697	6205	2684
698	6212	2675
699	6219	2665
700	6227	2656
701	6235	2646
702	6242	2637
703	6250	2628
704	6257	2618
705	6265	2609
706	6272	2599
707	6280	2590
708	6288	2580
709	6295	2571
710	6302	2561
711	6309	2552
712	6317	2542
713	6324	2533
714	6331	2523
715	6339	2514
716	6347	2505
717	6354	2495
718	6362	2486
719	6369	2476
720	6376	2467
721	6383	2458
722	6392	2448
723	6399	2439
724	6406	2430
725	6414	2420
726	6421	2411
727	6428	2401
728	6436	2392
729	6444	2383
730	6451	2373
731	6458	2364
732	6465	2355
733	6473	2346
734	6480	2336
735	6488	2327
736	6496	2318
737	6503	2308
738	6514	2300
739	6522	2291
740	6531	2282
741	6540	2274
742	6549	2265
743	6558	2256
744	6568	2248
745	6578	2239
746	6643	2250
747	6728	2266
748	6804	2280
749	6822	2274
750	6894	2285
751	6911	2279
752	6961	2283
753	6977	2276
754	7010	2275
755	7021	2266
756	7031	2257
757	7039	2247
758	7050	2238
759	7071	2233
760	7085	2225
761	7154	2234
762	7172	2227
763	7181	2218
764	7193	2209
765	7202	2200
766	7216	2192
767	7224	2182
768	7235	2173
769	7246	2164
770	7254	2154
771	7264	2145
772	7272	2135
773	7283	2126
774	7296	2118
775	7304	2108
776	7326	2102
777	7336	2093
778	7347	2084
779	7354	2074
780	7362	2064
781	7369	2054
782	7377	2044
783	7384	2034
784	7394	2025
785	7401	2015
786	7409	2005
787	7417	1995
788	7430	1986
789	7438	1977
790	7447	1967
791	7456	1958
792	7464	1948
793	7474	1939
794	7482	1929
795	7490	1919
796	7498	1909
797	7509	1900
798	7517	1891
799	7531	1882
800	7541	1873
801	7550	1864
802	7559	1854
803	7577	1847
804	7588	1838
805	7596	1828
806	7605	1818
807	7613	1809
808	7626	1800
809	7637	1791
810	7649	1782
811	7658	1773
812	7668	1763
813	7676	1754
814	7684	1744
815	7692	1734
816	7701	1725
817	7708	1715
818	7718	1705
819	7739	1698
820	7749	1689
821	7759	1680
822	7770	1671
823	7779	1661
824	7787	1651
825	7797	1642
826	7805	1632
827	7816	1623
828	7824	1614
829	7835	1604
830	7845	1595
831	7853	1585
832	7863	1576
833	7870	1566
834	7881	1557
835	7889	1547
836	7900	1538
837	7916	1530
838	7928	1521
839	7936	1511
840	7948	1502
841	7957	1493
842	7966	1483
843	7978	1474
844	7985	1464
845	7996	1455
846	8004	1445
847	8013	1436
848	8023	1426
849	8031	1417
850	8042	1408
851	8051	1398
852	8061	1389
853	8079	1381
854	8091	1372
855	8099	1362
856	8111	1353
857	8118	1343
858	8129	1334
859	8139	1325
860	8147	1315
861	8159	1306
862	8168	1296
863	8177	1287
864	8187	1277
865	8194	1268
866	8206	1258
867	8214	1249
868	8228	1240
869	8241	1231
870	8259	1223
871	8273	1214
872	8282	1204
873	8290	1195
874	8299	1185
875	8307	1175
876	8316	1166
877	8326	1156
878	8337	1147
879	8346	1138
880	8354	1128
881	8366	1119
882	8374	1109
883	8384	1100
884	8391	1090
885	8401	1080
886	8410	1071
887	8419	1061
888	8437	1053
889	8449	1044
890	8458	1034
891	8466	1025
892	8474	1015
893	8483	1005
894	8493	996
895	8501	986
896	8510	977
897	8518	967
898	8529	958
899	8536	948
900	8546	939
901	8598	934
902	8615	925
903	8640	917
904	8689	912
905	8705	903
906	8733	895
907	8750	886
908	8783	879
909	8800	870
910	8816	861
911	8824	851
912	8834	841
913	8841	831
914	8850	822
915	8858	812
916	8866	802
917	8882	793
918	8890	783
919	8899	773
920	8906	763
921	8914	754
922	8921	744
923	8929	734
924	8937	724
925	8945	714
926	8952	705
927	8960	695
928	8967	685
929	8975	675
930	8982	665
931	8990	655
932	8997	646
933	9004	636
934	9012	626
935	9020	616
936	9041	607
937	9049	598
938	9091	590
939	9100	580
940	9107	571
941	9114	561
942	9122	551
943	9129	541
944	9137	531
945	9145	522
946	9152	512
947	9160	502
948	9168	492
949	9175	482
950	9183	473
951	9192	463
952	9199	453
953	9214	444
954	9223	434
955	9231	424
956	9241	415
957	9248	405
958	9256	395
959	9264	386
960	9272	376
961	9279	366
962	9287	356
963	9294	347
964	9301	337
965	9309	327
966	9317	317
967	9324	308
968	9332	298
969	9340	288
970	9348	279
971	9356	269
972	9363	259
973	9370	250
974	9379	240
975	9386	230
976	9400	221
977	9409	211
978	9417	202
979	9427	192
980	9436	182
981	9444	173
982	9451	163
983	9459	153
984	9467	144
985	9474	134
986	9481	124
987	9488	115
988	9496	105
989	9503	95
990	9511	86
991	9518	76
992	9526	67
993	9534	57
994	9543	47
995	9550	38
996	9558	28
997	9565	19
998	9574	9
999	9584	0
